group_key,example_uttid,missing_texts,missing_count,total_segments,asr_result_raw_example
doubao_exhibition_of_cultural_relics_video-ssthzbv,doubao_exhibition_of_cultural_relics_video-ssthzbv33200,['| 这个馆一进来是第几层呀 |  | 我对这个展厅很感兴趣，你简单给我介绍一下吧 |  | 现在是2点20，你给我安排一个能免费听讲解的游览路线吧 |  | 那我直接去第五展厅吧，现在怎么走呀 |  | 哇这里好震撼，我想拍照发朋友圈，快帮我想个文案 |  | 结合刚刚我问过的展厅信息，你推荐我从哪个展览单元看起呢 |  | 我接下来还可以在这个展厅里玩哪些互动场景呀 |  | 模拟占卜区域怎么走啊 |  | 今天真是收获满满啊，你再帮我写个小红书文案吧 |  | 有点想去卫生间了，待会我出了展厅怎么走呀'],1,1,"[{""asr_result"": ""这个管一进来是第几层呀？"", ""start_time"": 1.0, ""end_time"": 3.695}, {""asr_result"": ""我对这个展厅很感兴趣，你简单给我介绍一下吧。"", ""start_time"": 4.695, ""end_time"": 8.526}, {""asr_result"": ""现在是 2:20，你给我安排一个能免费听讲解的游览路线吧。"", ""start_time"": 9.526, ""end_time"": 14.947}, {""asr_result"": ""那我直接去第 5 展厅吧，现在怎么走呀？"", ""start_time"": 15.947, ""end_time"": 19.041}, {""asr_result"": ""哇，这里好震撼，我想拍照发朋友圈，快帮我想个文案。"", ""start_time"": 20.041, ""end_time"": 24.931}, {""asr_result"": ""结合刚刚我问过的展厅信息，你推荐我从哪个展览单元看起呢？"", ""start_time"": 25.932, ""end_time"": 31.38}, {""asr_result"": ""我接下来还可以在这个展厅里玩哪些互动场景呀？"", ""start_time"": 32.38, ""end_time"": 36.02}, {""asr_result"": ""模拟占卜区域怎么走啊？"", ""start_time"": 37.02, ""end_time"": 39.254}, {""asr_result"": ""今天真是收获满满啊，你再帮我写个小红书文案吧。"", ""start_time"": 40.254, ""end_time"": 44.174}, {""asr_result"": ""有点想去卫生间了，待会我出了展厅怎么走呀？"", ""start_time"": 45.174, ""end_time"": 49.056}]"
doubao_festival_customs_video-bpossthzb,doubao_festival_customs_video-bpossthzb0021,['| 这人上台给他俩脖子上戴的是什么？'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 3.905}]"
doubao_festival_customs_video-dbdnksj,doubao_festival_customs_video-dbdnksj1008,['| 这是天津津南区哪个镇的庙会 |  | 这个庙会叫什么 |  | 这个庙会是谁的祭典仪式 |  | 庙会是农历哪天正式开始 |  | 庙会哪年被列入国家级非物质文化遗产'],1,1,"[{""asr_result"": ""这是天津津南区哪个镇的庙会？"", ""start_time"": 1.0, ""end_time"": 4.029}, {""asr_result"": ""这个庙会叫什么？"", ""start_time"": 5.029, ""end_time"": 6.504}, {""asr_result"": ""这个庙会是谁的祭典仪式？"", ""start_time"": 7.504, ""end_time"": 10.314}, {""asr_result"": ""庙会是农历哪天正式开始？"", ""start_time"": 11.314, ""end_time"": 13.992}, {""asr_result"": ""庙会哪年被列入国家级非物质文化遗产？"", ""start_time"": 14.992, ""end_time"": 18.687}]"
doubao_festival_customs_video-dbksj,doubao_festival_customs_video-dbksj031,['| 这是在过什么节呀？'],1,1,"[{""asr_result"": ""这是在过什么节呀？"", ""start_time"": 1.0, ""end_time"": 2.908}]"
doubao_festival_customs_video-hhyy,doubao_festival_customs_video-hhyy170,['| 这是在过什么节日呢 |  | 云南地区这个节日每年都是在什么时候举办的呀'],1,1,"[{""asr_result"": ""这是在过什么节日呢？"", ""start_time"": 1.0, ""end_time"": 2.897}, {""asr_result"": ""云南地区这个节日每年都是在什么时候举办的呀？"", ""start_time"": 3.897, ""end_time"": 7.511}]"
doubao_festival_customs_video-jingjing,doubao_festival_customs_video-jingjing06,['| 这是什么民俗活动？ |  | 它活动的时间是？'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 2.751}, {""asr_result"": ""他活动的时间是。"", ""start_time"": 3.751, ""end_time"": 5.947}]"
doubao_festival_customs_video-ssthcs,doubao_festival_customs_video-ssthcs263,['| 我正在查干湖，现在这是什么活动啊？'],1,1,"[{""asr_result"": ""我正在查干湖，现在这是什么活动啊？"", ""start_time"": 1.0, ""end_time"": 3.893}]"
doubao_festival_customs_video-ssthlwzb,doubao_festival_customs_video-ssthlwzb006,['| 这是在做什么民俗仪式？ |  | 这个民俗活动在哪一天进行？ |  | 这个民俗活动主要在哪些地方流行？'],1,1,"[{""asr_result"": ""这是在做什么民俗仪式？"", ""start_time"": 1.0, ""end_time"": 3.106}, {""asr_result"": ""这个民俗活动在哪一天进行？"", ""start_time"": 4.106, ""end_time"": 6.535}, {""asr_result"": ""这个民俗活动主要在哪些地方流行？"", ""start_time"": 7.535, ""end_time"": 10.353}]"
doubao_festival_customs_video-vidssth,doubao_festival_customs_video-vidssth019,['| 你知道我在哪个游乐园吗？ |  | 这是园区的什么演出项目呀？ |  | 现在这几个人物出自哪个动画片？ |  | 黄色头冠的角色原型是什么小动物 |  | 上一辆花车是哪个电影主题的？'],1,1,"[{""asr_result"": ""你知道我在哪个游乐园吗？"", ""start_time"": 1.0, ""end_time"": 2.905}, {""asr_result"": ""这是园区的什么演出项目呀？"", ""start_time"": 3.905, ""end_time"": 6.403}, {""asr_result"": ""现在这几个人物出自哪个动画片？"", ""start_time"": 7.403, ""end_time"": 10.087}, {""asr_result"": ""黄色头冠的角色原型是什么小动物？"", ""start_time"": 11.087, ""end_time"": 14.238}, {""asr_result"": ""上一辆花车是哪个电影主题的？"", ""start_time"": 15.238, ""end_time"": 17.852}]"
doubao_get_to_know_the_game_video-rsyx,doubao_get_to_know_the_game_video-rsyx1084,['| 这个游戏和保卫萝卜好像啊。是一家工作室的产品吗？不是的话，这是哪家出品的啊？ |  | 现在哪种植物可以合成升级啊？ |  | 这个香蕉它需要用几块田地？ |  | 这个粉色的花很漂亮，她在游戏中叫什么？ |  | 我现在还有多少生命值？'],1,1,"[{""asr_result"": ""这个游戏和保卫萝卜好像啊，是一家工作室的产品吗？不是的话，这是哪家出品的啊？"", ""start_time"": 1.0, ""end_time"": 8.713}, {""asr_result"": ""现在哪种植物可以合成升级啊？"", ""start_time"": 9.713, ""end_time"": 12.397}, {""asr_result"": ""这个香蕉它需要用几块田地？"", ""start_time"": 13.397, ""end_time"": 16.275}, {""asr_result"": ""这个粉色的花很漂亮，它在游戏中叫什么？"", ""start_time"": 17.275, ""end_time"": 21.285}, {""asr_result"": ""我现在还有多少生命值？"", ""start_time"": 22.285, ""end_time"": 24.09}]"
doubao_get_to_know_the_game_video-rsyxzs,doubao_get_to_know_the_game_video-rsyxzs0056,['| 我玩的是哪款游戏？ |  | 这是什么类型的游戏？'],1,1,"[{""asr_result"": ""我玩的是哪款游戏？"", ""start_time"": 1.0, ""end_time"": 2.606}, {""asr_result"": ""这是什么类型的游戏？"", ""start_time"": 3.606, ""end_time"": 5.504}]"
doubao_instruction_following_result_fullvideo_upload_video-v_回复风格,doubao_instruction_following_result_fullvideo_upload_video-v007_回复风格,['| 我在做英语语法填空。帮我翻译一下第61题所在的句子。 |  | 第61题的答案是什么？做题思路是什么？'],1,1,"[{""asr_result"": ""我在做英语语法填空，帮我翻译一下第 61 题所在的句子。"", ""start_time"": 1.0, ""end_time"": 5.918}, {""asr_result"": ""第 61 题的答案是什么？做题思路是什么？"", ""start_time"": 6.918, ""end_time"": 10.598}]"
doubao_landmark_building_video-bpossthzb,doubao_landmark_building_video-bpossthzb0016,['| 你知道前面这个建筑物叫什么名字吗？'],1,1,"[{""asr_result"": ""你知道前面这个建筑物叫什么名字吗？"", ""start_time"": 1.0, ""end_time"": 3.8}]"
doubao_landmark_building_video-lxsp,doubao_landmark_building_video-lxsp0503,['| 这座桥位于哪个县？'],1,1,"[{""asr_result"": ""这座桥位于哪个县？"", ""start_time"": 1.0, ""end_time"": 2.905}]"
doubao_landmark_building_video-ssthcs,doubao_landmark_building_video-ssthcs082,['| 你知道这是环球影城的哪个园区吗？'],1,1,"[{""asr_result"": ""你知道这是环球影城的哪个园区吗？"", ""start_time"": 1.0, ""end_time"": 3.703}]"
doubao_landmark_building_video-ssthlwzb,doubao_landmark_building_video-ssthlwzb3005,['| 这个火车站是哪一年建成的呀？ |  | 这趟车的担当路局是哪个？ |  | 六尺巷旁边的主题邮局叫什么邮局？ |  | 桐城派是哪个朝代最大的散文流派？'],1,1,"[{""asr_result"": ""这个火车站是哪一年建成的呀？"", ""start_time"": 1.0, ""end_time"": 3.895}, {""asr_result"": ""这趟车的担当路局是哪个？"", ""start_time"": 4.895, ""end_time"": 7.31}, {""asr_result"": ""六尺巷旁边的主题邮局叫什么邮局？"", ""start_time"": 8.31, ""end_time"": 11.469}, {""asr_result"": ""桐城派是哪个朝代最大的散文流派？"", ""start_time"": 12.469, ""end_time"": 15.614}]"
doubao_landmark_building_video-ssthlwzbx,doubao_landmark_building_video-ssthlwzbx038,['| 哈哈，那个楼长得好像个玉米啊'],1,1,"[{""asr_result"": ""哈哈，那个楼长得好像个玉米啊。"", ""start_time"": 1.0, ""end_time"": 3.875}]"
doubao_landmark_building_video-ssthzb,doubao_landmark_building_video-ssthzb0244,['| 这个景点叫什么名字？ |  | 这个景点哪年创建的？ |  | 这个景点是谁设计的？'],1,1,"[{""asr_result"": ""这个景点叫什么名字？"", ""start_time"": 1.0, ""end_time"": 3.061}, {""asr_result"": ""这个景点哪年创建的？"", ""start_time"": 4.061, ""end_time"": 6.132}, {""asr_result"": ""这个景点是谁设计的？"", ""start_time"": 7.132, ""end_time"": 9.232}]"
doubao_landmark_building_video-ssthzbv,doubao_landmark_building_video-ssthzbv30004,['| 这广场是什么时候开业的，我以前没看见过呢 |  | 诶你看这个电影城，和拍戏的那个地方有什么关系吗'],1,1,"[{""asr_result"": ""这广场是什么时候开业的？我以前没看见过呢。"", ""start_time"": 1.0, ""end_time"": 5.039}, {""asr_result"": ""哎，你看这个电影城和拍戏的那个地方有什么关系吗？"", ""start_time"": 6.039, ""end_time"": 10.433}]"
doubao_landmark_building_video-vidssth,doubao_landmark_building_video-vidssth010,['| 我现在在哪条地铁线上？ |  | 这附近有公园吗，要怎么走？ |  | 这一站为什么不能站内换乘？'],1,1,"[{""asr_result"": ""我现在在哪条地铁线上？"", ""start_time"": 1.0, ""end_time"": 2.876}, {""asr_result"": ""这附近有公园吗？要怎么走？"", ""start_time"": 3.876, ""end_time"": 6.549}, {""asr_result"": ""这一站为什么不能站内换乘？"", ""start_time"": 7.549, ""end_time"": 10.159}]"
doubao_natural_landscape_video-bpossth,doubao_natural_landscape_video-bpossth0002,['| 这里大概有多高？'],1,1,"[{""asr_result"": ""这里大概有多高？"", ""start_time"": 1.0, ""end_time"": 2.305}]"
doubao_natural_landscape_video-dbdnksj,doubao_natural_landscape_video-dbdnksj1006,['| 这个地质公园在我国哪个省 |  | 这里的地貌叫什么 |  | 这里的红色砂砾岩主要沉积于什么地质年代 |  | 这里属于什么气候类型'],1,1,"[{""asr_result"": ""这个地质公园在我国哪个省？"", ""start_time"": 1.0, ""end_time"": 3.482}, {""asr_result"": ""这里的地貌叫什么？"", ""start_time"": 4.482, ""end_time"": 6.305}, {""asr_result"": ""这里的红色砂砾岩主要沉积于什么地质年代？"", ""start_time"": 7.305, ""end_time"": 11.509}, {""asr_result"": ""这里属于什么气候类型？"", ""start_time"": 12.509, ""end_time"": 14.73}]"
doubao_natural_landscape_video-dbksj,doubao_natural_landscape_video-dbksj015,['| 这个景点叫啥 |  | 它在哪个国家？'],1,1,"[{""asr_result"": ""这个景点叫啥？"", ""start_time"": 1.0, ""end_time"": 2.286}, {""asr_result"": ""他在哪个国家？"", ""start_time"": 3.286, ""end_time"": 4.591}]"
doubao_natural_landscape_video-gongkun,doubao_natural_landscape_video-gongkun04,['| 这座山在哪个国家？ |  | 这座山主峰海拔多少米？ |  | 这座山有几个主要的登山口？ |  | 这座山是第几个世界文化遗产？ |  | 至今为止这座山在山体形成过程中，大致可以分为几个阶段？ |  | 能够考证这座山喷发年代的最早的文字记录是什么？ |  | 每年的几月份是攀登这座山的最佳季节？ |  | 这座山主要的登山路线有哪些？ |  | 围绕这座山顶火山口走一圈需要多长时间？ |  | 这座山是什么时候列入世界文化遗产的？'],1,1,"[{""asr_result"": ""这座山在哪个国家？"", ""start_time"": 1.0, ""end_time"": 2.952}, {""asr_result"": ""这座山主峰海拔多少米？"", ""start_time"": 3.952, ""end_time"": 6.157}, {""asr_result"": ""这座山有几个主要的登山口？"", ""start_time"": 7.157, ""end_time"": 10.028}, {""asr_result"": ""这座山是第几个世界文化遗产？"", ""start_time"": 11.028, ""end_time"": 13.858}, {""asr_result"": ""至今为止，这座山在山体形成过程中，大致可以分为几个阶段？"", ""start_time"": 14.858, ""end_time"": 20.498}, {""asr_result"": ""能够考证这座山喷发年代的最早的文字记录是什么？"", ""start_time"": 21.498, ""end_time"": 26.196}, {""asr_result"": ""每年的几月份是攀登这座山的最佳季节？"", ""start_time"": 27.196, ""end_time"": 30.603}, {""asr_result"": ""这座山主要的登山路线有哪些？"", ""start_time"": 31.603, ""end_time"": 34.554}, {""asr_result"": ""围绕这座山顶火山口走一圈需要多长时间？"", ""start_time"": 35.554, ""end_time"": 39.132}, {""asr_result"": ""这座山是什么时候列入世界文化遗产的？"", ""start_time"": 40.132, ""end_time"": 43.541}]"
doubao_natural_landscape_video-hhyy,doubao_natural_landscape_video-hhyy159,['| 这是什么景点呀 |  | 这个景点位于哪个省呢 |  | 它是在哪一年建成的呢？ |  | 这个景点是几A级景区呀'],1,1,"[{""asr_result"": ""这是什么景点呀？"", ""start_time"": 1.0, ""end_time"": 2.626}, {""asr_result"": ""这个景点位于哪个省呢？"", ""start_time"": 3.626, ""end_time"": 5.62}, {""asr_result"": ""它是在哪一年建成的呢？"", ""start_time"": 6.62, ""end_time"": 8.624}, {""asr_result"": ""这个景点是几 A 级景区啊？"", ""start_time"": 9.624, ""end_time"": 12.845}]"
doubao_natural_landscape_video-lxsp,doubao_natural_landscape_video-lxsp0189,['| 这些人在拍的石柱叫什么'],1,1,"[{""asr_result"": ""这些人在拍的石柱叫什么？"", ""start_time"": 1.0, ""end_time"": 3.208}]"
doubao_natural_landscape_video-ssthcs,doubao_natural_landscape_video-ssthcs135,['| 这个湖在中国哪个省份？'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 3.193}]"
doubao_natural_landscape_video-ssthlwzb,doubao_natural_landscape_video-ssthlwzb002,['| 这里的地都是红色的，这属于哪种地貌？ |  | 这种地貌在哪个国家分布最广？'],1,1,"[{""asr_result"": ""这里的地都是红色的，这属于哪种地貌？"", ""start_time"": 1.0, ""end_time"": 4.604}, {""asr_result"": ""这种地貌在哪个国家分布最广？"", ""start_time"": 5.604, ""end_time"": 8.223}]"
doubao_natural_landscape_video-ssthzbv,doubao_natural_landscape_video-ssthzbv02,['| 好美啊这里，我想回去后发一个小红书分享一下，你帮我想几个标题咋样，突出一下这个地点 |  | 骑车真的好舒服啊，等我骑累了再租一辆游览车回才村码头那边吧。诶，你知道要多少钱吗？'],1,1,"[{""asr_result"": ""好美啊这里，我想回去后发一个小红书分享一下，你帮我想几个标题咋样？突出一下这个地点。"", ""start_time"": 1.0, ""end_time"": 8.908}, {""asr_result"": ""骑车真的好舒服啊，等我骑累了，再租一辆游览车回彩村码头那边吧。哎，你知道要多少钱吗？"", ""start_time"": 9.908, ""end_time"": 18.351}]"
doubao_natural_landscape_video-zhangrui,doubao_natural_landscape_video-zhangrui01,['| 你能帮我看看这个是什么地方吗 |  | 这种现象是怎么形成的呢？ |  | 它是在冰岛的什么位置呀？ |  | 它是在什么时间形成的？ |  | 这个泉眼的直径大概有多少米呀？'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 3.511}, {""asr_result"": ""这种现象是怎么形成的呢？"", ""start_time"": 4.511, ""end_time"": 6.668}, {""asr_result"": ""它是在冰岛的什么位置呀？"", ""start_time"": 7.668, ""end_time"": 9.948}, {""asr_result"": """", ""start_time"": 10.948, ""end_time"": 12.822}, {""asr_result"": ""这个泉眼的直径大概有多少米啊？"", ""start_time"": 13.822, ""end_time"": 16.526}]"
doubao_video_call_specificity_video-ssthtyx,doubao_video_call_specificity_video-ssthtyx04,['| 眉毛应该怎么画啊，给我详细的步骤 |  | 鼻子应该怎么修容呢'],1,1,"[{""asr_result"": ""眉毛应该怎么画啊？给我详细的步骤。"", ""start_time"": 1.0, ""end_time"": 3.897}, {""asr_result"": ""鼻子应该怎么修容呢？"", ""start_time"": 4.897, ""end_time"": 6.572}]"
education_autoeval-adabdabbdebdccbaffefcdfdfdfc-,education_autoeval-001ad6117abd8abbd93ebd6c7cb5789af04fe524fc7747df13d4fd951f7c7969-1,['| 在不在？'],1,1,"[{""asr_result"": ""在不在？"", ""start_time"": 1.0, ""end_time"": 1.7}]"
education_autoeval-adaecdafbdabadaddeddfbeeedc-,education_autoeval-00076ad0a6e7c9d4afb973d23617384a4bada3dde63ddf9be7107782e2e0d3c6-3,['| 这个选什么？'],1,1,"[{""asr_result"": ""这个选什么？"", ""start_time"": 1.0, ""end_time"": 2.271}]"
education_autoeval-adbaeecbbbedfabdeece-,education_autoeval-0037ad81b90a9ee3cb4b9287b284e5d27045f85a7b21d1e55882e02465c995e6-2,['| 不需要解释。'],1,1,"[{""asr_result"": ""不需要解释。"", ""start_time"": 1.0, ""end_time"": 2.28}]"
education_autoeval-adedabefadaabeacbfccbaeffebdd-,education_autoeval-000ad7949168e3912dab3393e03f7679ad4aab3eac4b9f303c40cbaef0f0ebdd-2,['| 这是我自己割的。'],1,1,"[{""asr_result"": ""这是我自己割的。"", ""start_time"": 1.0, ""end_time"": 2.268}]"
education_autoeval-aeafdebbffaffaeceffafbefb-,education_autoeval-0029a33ea22fd449eb48460bf3faf2f02a4e9c93eff44af164219b141ef985b2-5,['| 对的。'],1,1,"[{""asr_result"": ""对的。"", ""start_time"": 1.0, ""end_time"": 1.88}]"
education_autoeval-aeccbadacbdddbdabfac-,education_autoeval-001a24605084ec230c926235b74a93162dac5b01d96d2db63465d1a834bf0ac0-3,['| 那关于这里面的 rich Aroma， Aroma 是什么意思？'],1,1,"[{""asr_result"": ""那关于这里面的 rich Aroma，Aroma 是什么意思？"", ""start_time"": 1.0, ""end_time"": 5.086}]"
education_autoeval-aedbfddcacaefeecdecaecdffca-,education_autoeval-000aed7b8984065f8d9dc41a4caefee3cd641eca54e120036c64204d85ffc98a-6,['| 这个下的是台风雨。'],1,1,"[{""asr_result"": ""这个下的是台风雨。"", ""start_time"": 1.0, ""end_time"": 2.63}]"
education_autoeval-aedfacedbefafeffdc-,education_autoeval-0014581865849ae1d68889302face1d456b65852e91fa80f6ef71426f2dc6373-3,['| 1。'],1,1,"[{""asr_result"": ""1。"", ""start_time"": 1.0, ""end_time"": 1.678}]"
education_autoeval-afaeaacebcdbaecdefcabfcbab-,education_autoeval-00210847af7a9012eaa6ce909b9cd1575422ba6ecd6ef820cab9fc4ba222174b-9,"[""| Hi, I'm""]",1,1,"[{""asr_result"": ""Hi, I'm"", ""start_time"": 1.0, ""end_time"": 2.309}]"
education_autoeval-afebabdabddbdfadfeceeecaaa-,education_autoeval-002586a32f4eb350ab8d773ab6ddb2df9480adfe619ceee7c21752452aa3545a-2,['| 电压表。'],1,1,"[{""asr_result"": ""《电压表》"", ""start_time"": 1.0, ""end_time"": 1.997}]"
education_autoeval-bbadbcdccefafbbefcbcfdddcd-,education_autoeval-001bba7d1b4494cd64c2ce212fa0f6b900b269ef479c1b9332c599fddd5650cd-1,['| 豆包。'],1,1,"[{""asr_result"": ""豆包。"", ""start_time"": 1.0, ""end_time"": 1.904}]"
education_autoeval-bbdaababcdfeaaebacaeaefd-,education_autoeval-0035b456b2d44aab59a47bcd36117f59e8620a154aeb14a060c2a9e406a9efd4-205,['| 48。'],1,1,"[{""asr_result"": ""48."", ""start_time"": 1.0, ""end_time"": 2.023}]"
education_autoeval-bbebefedabdefdbbfbdba-,education_autoeval-003606b5b12e6b16e3f45880957e1da32bd6e41f1d9b9bf5226b948d6877b9a4-3,['| 你能慢一点吗？慢一点，慢一点，等我写完，你再写，你再读。'],1,1,"[{""asr_result"": ""你能慢一点吗？慢一点慢一点，等我写完，你再写，你再读。"", ""start_time"": 1.0, ""end_time"": 6.769}]"
education_autoeval-bcbfbafdffaefb-,education_autoeval-00242165b337c540bf95369464b423a6f05d0800459f95f32935a8542ef3b392-1,['| 豆包，豆包，这道题怎么写？三四五六。'],1,1,"[{""asr_result"": ""豆包豆包，这道题怎么写？3456。"", ""start_time"": 1.0, ""end_time"": 5.717}]"
education_autoeval-bcecfeeeadfdfeedbddd-,education_autoeval-00246bc36e874cf6e84945ee1426ad5f127201d4f9947e05e6d2593b4851ddd1-1,['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.555}]"
education_autoeval-bcfceefddccddaccaffbccec-,education_autoeval-0039bcf47146cee86402f500747d8dc6c08d681dacc98af85f218508b44ccec0-9,['| 是要空格还是不空格啊？'],1,1,"[{""asr_result"": ""是要空格还是不空格啊？"", ""start_time"": 1.0, ""end_time"": 3.354}]"
education_autoeval-bdcbdcecbaaecdedbfcdbbeda-,education_autoeval-0001862507bdc303b48dce682cbaa5295ec6d00e5216db8fc9d29bb3e36d16a1-4,['| 豆包。'],1,1,"[{""asr_result"": ""豆包。"", ""start_time"": 1.0, ""end_time"": 1.9}]"
education_autoeval-bdccbbbefcdceabedfa-,education_autoeval-00244b16d2c71cb97617b25bef44495cd10c3e3a482468b3274060ed89f5185a-1,['| 豆包读这一页的内容。'],1,1,"[{""asr_result"": ""豆包，读这一页的内容。"", ""start_time"": 1.0, ""end_time"": 3.004}]"
education_autoeval-befadedbbaebefabfcddcec-,education_autoeval-000befa10de9d5638b7758ba8e822be2928f09a7110bf5c57856d2759d74cec6-6,['| 一对 2B 3B。'],1,1,"[{""asr_result"": ""1D, 2B, 3B."", ""start_time"": 1.0, ""end_time"": 2.496}]"
education_autoeval-befdeeaacbbdfadcbaddcdacba-,education_autoeval-0026632be90f75de8e6517a37ac90bb6042dfadcb3ad5635d08c11d2a960cb6a-38,['| 停。'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 1.754}]"
education_autoeval-cafefeffcecfcbacaeffc-,education_autoeval-0003c4af76008ef7343ef99f343c858ecfc7877b8988a571ca7097ef890375fc-6,['| 绿阴不减来时路，不会。什么？唯有蜻蜓蛱蝶飞呀。日长篱落无人过，惟有蜻蜓蛱蝶飞。那个什么，只留清气满乾坤呀。什么呀，让我想一下啊。嗯？那个什么，不要人夸好颜色，只留清气满乾坤。'],1,1,"[{""asr_result"": ""绿荫不减来时路，不会。什么？唯有蜻蜓蛱蝶飞呀。日长篱落无人过，唯有蜻蜓蛱蝶飞。那个什么？只留清气满乾坤呀。什么呀？让我想一下啊。那个什么？不要人夸好颜色，只留清气满乾坤。"", ""start_time"": 1.0, ""end_time"": 25.519}]"
education_autoeval-cbadcbbeaaffabd-,education_autoeval-00091cb17a12dc36b922645b744760e6a556a77f9f2000048387a29bd3262491-7,['| 豆包看看这个，看看这个，小小的这个距离近一点看啊？'],1,1,"[{""asr_result"": ""豆包，看看这个，看看这个，小小的这个，距离近一点看啊。"", ""start_time"": 1.0, ""end_time"": 5.68}]"
education_autoeval-cbcbfbdbbbcbaabdbdf-,education_autoeval-002582cb2088466c71b2fb1db5b8482770257bc2b192a8a6846b1d7104b816df-3,['| 第 6 题。'],1,1,"[{""asr_result"": ""第 6 题。"", ""start_time"": 1.0, ""end_time"": 2.305}]"
education_autoeval-cbcdaccfdbfbdefc-,education_autoeval-003cbc7328d67a8385c02975878033c29392f5db3354f95b401d7e934f5c7663-8,['| 不不不，我说的是两条直线的夹角的公式怎么算？'],1,1,"[{""asr_result"": ""不不不，我说的是两条直线的夹角的公式怎么算？"", ""start_time"": 1.0, ""end_time"": 5.118}]"
education_autoeval-cbeacadeebeceecabaffcddaec-,education_autoeval-00394c9838b49e79a7c85a8d44193094eebe8c4e23e3c99a7ba2ffcd467da6ec-2,['| 那第 2 题呢？'],1,1,"[{""asr_result"": ""那第 2 题呢？"", ""start_time"": 1.0, ""end_time"": 2.108}]"
education_autoeval-ccdaeecafbfbedaeca-,education_autoeval-000639cc147235d93646877a201e853e3caf3b3962fb91e15376da593e537ca6-90,['| 你看一下原文。'],1,1,"[{""asr_result"": ""你看一下原文。"", ""start_time"": 1.0, ""end_time"": 2.15}]"
education_autoeval-cdcfceccebecbdacd-,education_autoeval-0009128c6dc4fc4522780e43529060c3ce524b77394e06107cb7da585622cd79-3,['| 去卖点东西。'],1,1,"[{""asr_result"": ""去卖点东西。"", ""start_time"": 1.0, ""end_time"": 2.064}]"
education_autoeval-cedfcedabdaafbbbdbfbc-,education_autoeval-0022c4ed3f5ce91da663b6d860a7a2f724246bb41b1507625595db588fb907c1-12,['| 宅饭。'],1,1,"[{""asr_result"": ""《宅饭》。"", ""start_time"": 1.0, ""end_time"": 1.88}]"
education_autoeval-cfabfbbfcccfbdecbcddccbcaade-,education_autoeval-0006c0f1ab872fbb08853f38ccc7fbd6e3c9b23cdd7c0c680b9ca55a6d161e31-1,['| 现在能看见吗？'],1,1,"[{""asr_result"": ""现在能看见吗？"", ""start_time"": 1.0, ""end_time"": 2.35}]"
education_autoeval-cfacfedacbbfdfdbbfdceefb-,education_autoeval-002c82701f3a3c3fed90ac697b68740208b5fd81fd08bb382236f8dc2e3e58fb-4,['| 好，开始第一个词。'],1,1,"[{""asr_result"": ""好，开始第一个词。"", ""start_time"": 1.0, ""end_time"": 2.558}]"
education_autoeval-dccbfdadfffcceaececca-,education_autoeval-00065d15c1c1222666bf7da55dff4f6c53042c9626251e21a0e4ce80c13ca437-2,['| 选哪个？'],1,1,"[{""asr_result"": ""选哪个？"", ""start_time"": 1.0, ""end_time"": 1.955}]"
education_autoeval-dcfdfbdfabbfeebdfa-,education_autoeval-000707d2cfd431f673b0802d8f40abb7fe3797e7722b13202596679734d1fa24-1,['| 豆包，你帮我看一下这道题的 b 选项哪里错了？'],1,1,"[{""asr_result"": ""豆包，你帮我看一下这道题的 B 选项哪里错了？"", ""start_time"": 1.0, ""end_time"": 4.511}]"
education_autoeval-dddcecdccdebddebcaaeadcbed-,education_autoeval-002dddc2ecd286841c8760003c4de186b89d9d0eb10ca3ae7097a2dc46b1e37d-5,['| 我不知道这个题怎么写。'],1,1,"[{""asr_result"": ""我不知道这个题怎么写。"", ""start_time"": 1.0, ""end_time"": 2.499}]"
education_autoeval-ddddcfdddbffefaeffd-,education_autoeval-000178d374d15d31209dcfd313d437d2394b33ffe91f2a82e27f2656602f088d-16,['| 我说把那个豆包，豆包，我说的是这个 15。'],1,1,"[{""asr_result"": ""我说把那个豆包豆包，我说的是这个 15。"", ""start_time"": 1.0, ""end_time"": 4.591}]"
education_autoeval-decabfbbefaeddadbbbceebcf-,education_autoeval-00006d2e8531c0a11bfb86b26071e5507fae3d2d90ad74bb7b57cee3947b58cf-1,['| 豆包，你待我总的复习一下小升初必考的内容。小升初分班考必考内容。'],1,1,"[{""asr_result"": ""豆包，你带我总的复习一下小升初必考的内容，小升初分班考必考内容。"", ""start_time"": 1.0, ""end_time"": 7.599}]"
education_autoeval-deebaabbbaaabadeacfa-,education_autoeval-003955921d9ee6b24a6539a4495b9306045b8b19a0aaba6329d7e7a956c2f96a-3,['| 但是不过。'],1,1,"[{""asr_result"": ""但是，不过。"", ""start_time"": 1.0, ""end_time"": 2.225}]"
